Day,ID,Age,Sex,EtOH_Pref
1,M28,18 wk,M,0.171428571
1,M29,18 wk,M,0.592592593
1,M30,18 wk,M,0.365853659
1,M31,6 wk,M,0.371428571
1,M32,6 wk,M,0.310344828
1,M33,6 wk,M,0.866666667
1,M34,3 wk,M,0.605263158
1,M35,3 wk,M,0
1,M36,3 wk,M,0
2,M28,18 wk,M,0.447368421
2,M29,18 wk,M,0.441176471
2,M30,18 wk,M,0.204545455
2,M31,6 wk,M,0.263157895
2,M32,6 wk,M,0.228571429
2,M33,6 wk,M,0.939393939
2,M34,3 wk,M,0.25
2,M35,3 wk,M,0.975
2,M36,3 wk,M,0.026315789
3,M28,18 wk,M,0.227272727
3,M29,18 wk,M,0.757575758
3,M30,18 wk,M,0.409090909
3,M31,6 wk,M,0.384615385
3,M32,6 wk,M,0.121212121
3,M33,6 wk,M,0.882352941
3,M34,3 wk,M,0.742857143
3,M35,3 wk,M,0.113636364
3,M36,3 wk,M,0.027027027
4,M28,18 wk,M,0.485714286
4,M29,18 wk,M,0.484848485
4,M30,18 wk,M,0.204545455
4,M31,6 wk,M,0.161290323
4,M32,6 wk,M,0.035714286
4,M33,6 wk,M,0.909090909
4,M34,3 wk,M,0.057142857
4,M35,3 wk,M,0.971428571
4,M36,3 wk,M,0
5,M28,18 wk,M,0.513513514
5,M29,18 wk,M,0.837837838
5,M30,18 wk,M,0.5
5,M31,6 wk,M,0.433333333
5,M32,6 wk,M,0
5,M33,6 wk,M,1
5,M34,3 wk,M,0.371428571
5,M35,3 wk,M,0
5,M36,3 wk,M,0
6,M28,18 wk,M,0.457142857
6,M29,18 wk,M,0.857142857
6,M30,18 wk,M,0.150943396
6,M31,6 wk,M,0.432432432
6,M32,6 wk,M,0.03125
6,M33,6 wk,M,0.916666667
6,M34,3 wk,M,0.071428571
6,M35,3 wk,M,0.948717949
6,M36,3 wk,M,0
7,M28,18 wk,M,0.735294118
7,M29,18 wk,M,1
7,M30,18 wk,M,0.25
7,M31,6 wk,M,0.896551724
7,M32,6 wk,M,0.032258065
7,M33,6 wk,M,1
7,M34,3 wk,M,0.470588235
7,M35,3 wk,M,0
7,M36,3 wk,M,0
8,M28,18 wk,M,0.609756098
8,M29,18 wk,M,0.9375
8,M30,18 wk,M,0.125
8,M31,6 wk,M,0.511627907
8,M32,6 wk,M,0.029411765
8,M33,6 wk,M,0.829787234
8,M34,3 wk,M,0.135135135
8,M35,3 wk,M,0.974358974
8,M36,3 wk,M,0
9,M28,18 wk,M,0
