ID,Age,Sex,Day,R_side_pref
F1,3 wk,F,1,0.14
F2,3 wk,F,1,0.770833333
F3,3 wk,F,1,0.414634146
F4,3 wk,F,1,0.939393939
F5,3 wk,F,1,0.272727273
F6,3 wk,F,1,0.048780488
F7,6 wk,F,1,0.333333333
F8,6 wk,F,1,0.4
F9,6 wk,F,1,0.210526316
F10,6 wk,F,1,0.16
F11,6 wk,F,1,0.444444444
F12,6 wk,F,1,0.204545455
F13,18 wk,F,1,0.659090909
F14,18 wk,F,1,0.55
F15,18 wk,F,1,0.081081081
F16,18 wk,F,1,0.65625
F17,18 wk,F,1,0.405405405
F18,18 wk,F,1,0.23255814
F1,3 wk,F,2,0.071428571
F2,3 wk,F,2,0.292682927
F3,3 wk,F,2,0.657142857
F4,3 wk,F,2,0.25
F5,3 wk,F,2,0.161290323
F6,3 wk,F,2,1
F7,6 wk,F,2,0.365853659
F8,6 wk,F,2,0.416666667
F9,6 wk,F,2,0.4375
F10,6 wk,F,2,0.105263158
F11,6 wk,F,2,0.75862069
F12,6 wk,F,2,0.292682927
F13,18 wk,F,2,0.682926829
F14,18 wk,F,2,0.515151515
F15,18 wk,F,2,0.032258065
F16,18 wk,F,2,0.6
F17,18 wk,F,2,0.333333333
F18,18 wk,F,2,0.285714286
F1,3 wk,F,3,0.196078431
F2,3 wk,F,3,0.36
F3,3 wk,F,3,0.653061224
F4,3 wk,F,3,0.657142857
F5,3 wk,F,3,0.41025641
F6,3 wk,F,3,0.046511628
F7,6 wk,F,3,0.543478261
F8,6 wk,F,3,0.4
F9,6 wk,F,3,0.428571429
F10,6 wk,F,3,0.235294118
F11,6 wk,F,3,0.763157895
F12,6 wk,F,3,0.333333333
F13,18 wk,F,3,0.547169811
F14,18 wk,F,3,0.35
F15,18 wk,F,3,0.193548387
F16,18 wk,F,3,0.621621622
F17,18 wk,F,3,0.35
F18,18 wk,F,3,0.222222222
F1,3 wk,F,4,0.119047619
F2,3 wk,F,4,0.25
F3,3 wk,F,4,0.764705882
F4,3 wk,F,4,0.071428571
F5,3 wk,F,4,0.419354839
F6,3 wk,F,4,1
F7,6 wk,F,4,0.305555556
F8,6 wk,F,4,0.378378378
F9,6 wk,F,4,0.551724138
F10,6 wk,F,4,0
F11,6 wk,F,4,0.777777778
F12,6 wk,F,4,0.435897436
F13,18 wk,F,4,0.697674419
F14,18 wk,F,4,0.170731707
F15,18 wk,F,4,0.21875
F16,18 wk,F,4,0.580645161
F17,18 wk,F,4,0.457142857
F18,18 wk,F,4,0.292682927
F1,3 wk,F,5,0.296296296
F2,3 wk,F,5,0.396551724
F3,3 wk,F,5,0.444444444
F4,3 wk,F,5,0.763157895
