ID,Group,Age,Sex,Day,EtOH_gkg,EtOH_Counts,H2O_gkg,H2O_Counts,Total_gkg,Total_Counts
F19,EtOH,3 wk,F,1,14.38484286,2123,43.16546763,602,223.0215827,2725
F20,EtOH,3 wk,F,1,17.2505292,3110,78.43137255,1020,294.1176471,4130
F21,EtOH,3 wk,F,1,6.191978811,933,135.483871,1760,212.9032258,2693
F22,EtOH,3 wk,F,1,15.99594526,832,12.12121212,0,212.1212121,832
F23,EtOH,3 wk,F,1,8.56925639,894,136.9047619,1113,244.047619,2007
F24,EtOH,3 wk,F,1,11.83132046,1785,82.84023669,865,230.7692308,2650
F25,EtOH,6 wk,F,1,13.4044234,2420,33.51955307,236,201.1173184,2656
F26,EtOH,6 wk,F,1,0,70,162.5,1994,162.5,2064
F27,EtOH,6 wk,F,1,8.27376479,1352,120.6896552,1886,224.137931,3238
F28,EtOH,6 wk,F,1,12.87030078,2377,22.98850575,150,183.908046,2527
F29,EtOH,6 wk,F,1,12.2696171,2451,5.681818182,85,159.0909091,2536
F30,EtOH,6 wk,F,1,10.17083225,2088,75.14450867,918,202.3121387,3006
F31,EtOH,18 wk,F,1,8.56925639,2019,75.89285714,1103,183.0357143,3122
F32,EtOH,18 wk,F,1,2.181265263,728,118.1818182,2409,145.4545455,3137
F33,EtOH,18 wk,F,1,6.835874043,1130,68.37606838,1016,153.8461538,2146
F34,EtOH,18 wk,F,1,11.53196054,3193,55.81395349,971,200,4164
F35,EtOH,18 wk,F,1,10.87443647,3112,26.31578947,360,162.2807018,3472
F36,EtOH,18 wk,F,1,7.997972631,1860,54.54545455,651,154.5454545,2511
F19,EtOH,3 wk,F,2,1.150787429,,237.4100719,,251.7985612,
F20,EtOH,3 wk,F,2,19.86424575,3082,0,3082,248.3660131,6164
F21,EtOH,3 wk,F,2,8.771969982,688,129.0322581,688,238.7096774,1376
F22,EtOH,3 wk,F,2,0,2,303.030303,2,303.030303,4
F23,EtOH,3 wk,F,2,5.712837593,427,166.6666667,427,238.0952381,854
F24,EtOH,3 wk,F,2,8.518550731,929,130.1775148,929,236.6863905,1858
F25,EtOH,6 wk,F,2,5.808583475,720,162.0111732,720,234.6368715,1440
F26,EtOH,6 wk,F,2,0,21,187.5,21,187.5,42
F27,EtOH,6 wk,F,2,7.354457591,1286,120.6896552,1286,212.6436782,2572
F28,EtOH,6 wk,F,2,13.78960798,,34.48275862,,206.8965517,
F29,EtOH,6 wk,F,2,13.63290789,2841,39.77272727,2841,210.2272727,5682
F30,EtOH,6 wk,F,2,15.25624837,2440,34.68208092,2440,225.433526,4880
F31,EtOH,18 wk,F,2,9.640413439,1923,26.78571429,1923,147.3214286,3846
F32,EtOH,18 wk,F,2,0.36354421,160,150,160,154.5454545,320
F33,EtOH,18 wk,F,2,3.076143319,348,141.025641,348,179.4871795,696
F34,EtOH,18 wk,F,2,0.371998727,60,181.3953488,60,186.0465116,120
F35,EtOH,18 wk,F,2,8.769706832,1516,92.10526316,1516,201.754386,3032
F36,EtOH,18 wk,F,2,9.452149472,,36.36363636,,154.5454545,
F19,EtOH,3 wk,F,3,14.96023658,,64.74820144,,251.7985612,
F20,EtOH,3 wk,F,3,22.47796229,,19.60784314,,300.6535948,
F21,EtOH,3 wk,F,3,8.255971748,1550,148.3870968,2004,251.6129032,3554
F22,EtOH,3 wk,F,3,15.51121965,723,6.060606061,1,200,724
F23,EtOH,3 wk,F,3,11.42567519,1321,53.57142857,438,196.4285714,1759
F24,EtOH,3 wk,F,3,10.88481482,1877,53.25443787,671,189.3491124,2548
F25,EtOH,6 wk,F,3,13.4044234,2223,27.93296089,339,195.5307263,2562
F26,EtOH,6 wk,F,3,0,9,212.5,2927,212.5,2936
F27,EtOH,6 wk,F,3,9.193071989,1664,103.4482759,1781,218.3908046,3445
F28,EtOH,6 wk,F,3,15.16856878,2924,5.747126437,20,195.4022989,2944
F29,EtOH,6 wk,F,3,0.908860526,25,187.5,3327,198.8636364,3352
F30,EtOH,6 wk,F,3,16.64318004,3177,28.9017341,334,236.9942197,3511
F31,EtOH,18 wk,F,3,8.21220404,2108,40.17857143,555,142.8571429,2663
F32,EtOH,18 wk,F,3,2.908353684,1165,90.90909091,1521,127.2727273,2686
F33,EtOH,18 wk,F,3,2.050762213,250,123.9316239,2130,149.5726496,2380
F34,EtOH,18 wk,F,3,15.99594526,3718,13.95348837,216,213.9534884,3934
F35,EtOH,18 wk,F,3,8.769706832,2238,61.40350877,913,171.0526316,3151
F36,EtOH,18 wk,F,3,8.361516841,1588,36.36363636,603,140.9090909,2191
F19,EtOH,3 wk,F,4,8.630905716,1113,151.0791367,1115,258.9928058,2228
F20,EtOH,3 wk,F,4,18.29601582,3390,117.6470588,1341,346.4052288,4731
F21,EtOH,3 wk,F,4,11.35196115,1953,116.1290323,1648,258.0645161,3601
F22,EtOH,3 wk,F,4,0,0,248.4848485,1882,248.4848485,1882
F23,EtOH,3 wk,F,4,14.28209398,1805,41.66666667,389,220.2380952,2194
F24,EtOH,3 wk,F,4,16.09059582,2207,29.58579882,137,230.7692308,2344
F25,EtOH,6 wk,F,4,9.829910496,1516,94.97206704,913,217.877095,2429
F26,EtOH,6 wk,F,4,0,19,218.75,2620,218.75,2639
F27,EtOH,6 wk,F,4,9.193071989,1468,132.183908,1458,247.1264368,2926
F28,EtOH,6 wk,F,4,15.62822238,2350,34.48275862,269,229.8850575,2619
F29,EtOH,6 wk,F,4,0.908860526,166,170.4545455,2944,181.8181818,3110
F30,EtOH,6 wk,F,4,16.18086948,2256,17.34104046,76,219.6531792,2332
F31,EtOH,18 wk,F,4,8.56925639,1495,40.17857143,706,147.3214286,2201
F32,EtOH,18 wk,F,4,0,280,131.8181818,2458,131.8181818,2738
F33,EtOH,18 wk,F,4,2.050762213,197,136.7521368,2295,162.3931624,2492
F34,EtOH,18 wk,F,4,15.99594526,2898,51.1627907,466,251.1627907,3364
F35,EtOH,18 wk,F,4,9.120495105,1923,78.94736842,1346,192.9824561,3269
F36,EtOH,18 wk,F,4,10.90632631,,45.45454545,,181.8181818,
F19,EtOH,3 wk,F,5,9.781693145,1100,141.9354839,1936,316.5467626,3036
F20,EtOH,3 wk,F,5,21.95521899,3036,0,45,274.5098039,3081
F21,EtOH,3 wk,F,5,10.83596292,2028,71.42857143,1848,277.4193548,3876
F22,EtOH,3 wk,F,5,16.48067087,1859,23.66863905,143,206.0606061,2002
F23,EtOH,3 wk,F,5,13.80602418,1551,22.34636872,639,244.047619,2190
F24,EtOH,3 wk,F,5,12.7778261,2188,193.75,272,183.4319527,2460
F25,EtOH,6 wk,F,5,13.4044234,2486,45.97701149,267,189.9441341,2753
F26,EtOH,6 wk,F,5,0.499873289,1,11.49425287,2624,200,2625
